,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
80,MERCEDES VITO,(2) 114 CDI LONG SELECT BVA7,19240,06,2016,08/02/2016,requis,208 112 Km,Diesel,automatique,BLANC,4,8,12 mois,,,non,,8 CV,136 ch,2,164 g/kmE,6.3 l/100km,EURO5
81,MERCEDES CLASSE B 3,III 200 8CV PROGRESSIVE LINE EDITION 7G-DCT,33910,06,2020,15/11/2020,non requis,18 982 Km,Essence,automatique,GRIS C,5,5,12 mois,,,oui,,8 CV,163 ch,1,118 g/kmB,5.2 l/100km,EURO6
82,MERCEDES GLA,(2) 200 D 7CV SENSATION 7G-DCT,33730,33,2020,20/08/2020,non requis,82 534 Km,Diesel,automatique,2191 noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,7 CV,136 ch,2,141 g/kmD,5.2 l/100km,EURO6
83,MERCEDES CLASSE A 4,IV 180 PROGRESSIVE LINE 7G-DCT,37030,33,2022,23/02/2022,non requis,32 045 Km,Essence,automatique,Noir,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,7 CV,136 ch,1,136 g/kmC,6 l/100km,EURO6
84,MERCEDES GLC,(2) 300 D AMG LINE 4MATIC,68380,95,2022,25/09/2022,non requis,10 830 Km,Diesel,automatique,blanc metal,5,5,15 mois,,,oui,,14 CV,245 ch,2,167 g/kmE,6.4 l/100km,EURO6
85,MERCEDES CLASSE A 3,III (2) 200 D FASCINATION 7G-DCT,20990,88,2016,05/01/2017,requis,136 092 Km,Diesel,automatique,GRIS,5,5,3 mois,,,non,,7 CV,136 ch,2,103 g/kmB,4 l/100km,EURO6
86,MERCEDES CLASSE A 3,III 180 CDI 1.5 INSPIRATION 7G-DCT,14430,93,2015,14/07/2015,requis,191 520 Km,Diesel,automatique,BLANC,5,5,3 mois,,,non,,5 CV,109 ch,2,98 g/kmA,3.8 l/100km,EURO5
87,MERCEDES CLASSE A 4,IV 200 D AMG LINE 8G-DCT,33040,35,2020,07/08/2020,non requis,93 390 Km,Diesel,automatique,BLANC,5,5,6 mois,,,non,,8 CV,150 ch,2,104 g/kmB,3.9 l/100km,EURO6
88,MERCEDES GLA,(2) 200 D 7CV INSPIRATION 7G-DCT,29730,35,2020,09/03/2020,non requis,77 023 Km,Diesel,automatique,NOIR,5,5,6 mois,,,non,,7 CV,136 ch,2,141 g/kmD,5.2 l/100km,EURO6
89,MERCEDES CLA,220 D FASCINATION 7G-TRONIC,21000,69,2014,25/08/2014,requis,192 003 Km,Diesel,automatique,BLANC,4,5,12 mois,,,non,,9 CV,177 ch,2,111 g/kmB,4.2 l/100km,EURO5
90,MERCEDES GLE COUPE 2,II COUPE 350 DE 4MATIC AMG LINE 9G-TRONIC,114290,49,2023,07/02/2023,non requis,9 900 Km,Hybride diesel électrique,automatique,Bleu cavansite métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,11 CV,194 ch,1,17 g/kmA,,EURO6
91,MERCEDES CLA SHOOTING BRAKE,(2) SHOOTING BRAKE 220 D SENSATION 7G-DCT,28130,62,2017,22/02/2017,requis,106 803 Km,Diesel,automatique,Gris montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,9 CV,177 ch,2,108 g/kmB,4.2 l/100km,EURO6
92,MERCEDES CLASSE E 4 BREAK,IV BREAK 220 CDI 9CV BLUEEFFICIENCY AVANTGARDE EXECUTIVE BA7 7G-TRONIC PLUS,11970,91,2013,22/09/2013,requis,231 199 Km,Diesel,automatique,GRIS C,5,5,,,,non,,9 CV,170 ch,2,133 g/kmC,5.1 l/100km,EURO5
93,MERCEDES CLASSE C 4,IV (2) 180 D AMG LINE BVA9,37840,85,2020,06/02/2020,non requis,53 312 Km,Diesel,automatique,Argent iridium métallisé,4,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,122 ch,2,110 g/kmB,4.2 l/100km,EURO6
94,MERCEDES GLC,(2) 200 D AVANTGARDE LINE 9G-TRONIC,52320,85,2020,28/11/2020,non requis,22 230 Km,Diesel,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,oui,,9 CV,163 ch,2,,,EURO6
95,MERCEDES GLA 2,II 250 E AMG LINE 8G-DCT,68910,85,2023,27/02/2023,non requis,10 530 Km,Hybride essence électrique,automatique,Gris montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,160 ch,1,29 g/kmA,,EURO6
96,MERCEDES GLA 2,II 250 E AMG LINE 8G-DCT,69500,85,2023,27/02/2023,non requis,10 530 Km,Hybride essence électrique,automatique,Gris montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,160 ch,1,29 g/kmA,,EURO6
97,MERCEDES CLASSE C 4 SW,IV SW 350 E FASCINATION 7G-TRONIC,43270,59,2019,18/01/2020,non requis,42 718 Km,Hybride essence électrique,automatique,gris,5,5,12 mois,,,non,2,10 CV,211 ch,1,53 g/kmA,,EURO6
98,MERCEDES CLASSE B 2,II (2) 1.5 180 D BLUEEFFICIENCY BUSINESS EDITION,21240,13,2018,13/04/2018,requis,88 290 Km,Diesel,mécanique,BLEU F,5,5,6 mois,,,non,,5 CV,109 ch,2,94 g/kmA,3.6 l/100km,EURO6
99,MERCEDES CLASSE B,(2) 180 CDI CLASSIC,11880,75,2012,13/07/2012,requis,40 780 Km,Diesel,mécanique,NOIR,5,5,6 mois,,,non,,6 CV,109 ch,2,139 g/kmC,5.3 l/100km,EURO5
100,MERCEDES CLASSE B 2,II (2) 180 FASCINATION 7G-DCT,32980,44,2019,07/09/2019,non requis,5 764 Km,Essence,automatique,GRIS F,5,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,122 ch,1,138 g/kmC,6 l/100km,EURO6
101,MERCEDES GLA,(2) 200 D SENSATION 7G-DCT,33770,76,2018,22/07/2018,requis,50 304 Km,Diesel,automatique,Gris montagne MAGNO designo,5,5,12 mois,,SPOTICAR,non,,7 CV,136 ch,2,115 g/kmB,4.4 l/100km,EURO6
102,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT,30510,81,2020,11/09/2020,non requis,76 590 Km,Diesel,automatique,GRIS F,5,5,6 mois,,,non,,6 CV,116 ch,2,107 g/kmB,4 l/100km,EURO6
103,MERCEDES CLASSE A 3,III (2) 200 D FASCINATION 7G-DCT,24590,31,2019,06/05/2019,non requis,89 880 Km,Diesel,automatique,NOIR,5,5,6 mois,,,non,,7 CV,136 ch,2,103 g/kmB,4 l/100km,EURO6
