,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
71,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,21260,75,2021,14/07/2021,non requis,34 431 Km,Essence,mécanique,bleu,5,5,12 mois,,SPOTICAR,oui,1,5 CV,101 ch,1,96 g/kmA,4.2 l/100km,EURO6
72,PEUGEOT 208,(2) 1.2 PURETECH 82 ALLURE 5P,14410,76,2020,30/10/2020,non requis,98 782 Km,Essence,mécanique,noir,5,5,12 mois,,SPOTICAR,non,2,4 CV,83 ch,1,108 g/kmB,4.4 l/100km,EURO6
73,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE PACK EAT8,29960,24,2022,09/08/2022,non requis,22 664 Km,Diesel,automatique,GRIS ARTENSE,5,5,12 mois,en cours,,non,2,7 CV,131 ch,2,125 g/kmC,4.8 l/100km,EURO6
74,PEUGEOT 508 (2E GENERATION),II 2.0 BLUEHDI 160 S&S ALLURE BUSINESS EAT8,36230,11,2020,01/09/2020,non requis,34 750 Km,Diesel,automatique,blanc,5,5,12 mois,,,oui,2,8 CV,163 ch,2,118 g/kmB,4.5 l/100km,EURO6
75,PEUGEOT 208 (2E GENERATION),ACTIVE PACK 1.2 PURETECH S&S 75CH MANUELLE,22530,77,2023,02/06/2023,non requis,11 Km,Essence,mécanique,gris,5,,17 mois,,,non,,4 CV,75 ch,,119 g/kmB,,
76,PEUGEOT 4008,1.6 HDI STT 115 FAP STYLE 4X4 BVM6,14020,75,2015,08/12/2015,requis,104 500 Km,Diesel,mécanique,noir,5,5,12 mois,,,non,,6 CV,114 ch,2,129 g/kmC,4.5 l/100km,EURO5
77,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,18980,69,2021,16/07/2021,non requis,17 927 Km,Essence,mécanique,gris,5,5,12 mois,,,oui,1,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
78,PEUGEOT 207,(2) 1.6 HDI 16V 92 FAP PREMIUM 5P,9240,95,2011,23/02/2011,requis,114 260 Km,Diesel,mécanique,gris metal,5,5,12 mois,,,non,2,5 CV,90 ch,3,115 g/kmB,3.6 l/100km,EURO4
79,PEUGEOT 208,(2) 1.2 PURETECH 82 S&S ACTIVE BUSINESS,13680,35,2020,17/04/2020,non requis,50 722 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,108 g/kmB,4.4 l/100km,EURO6
80,PEUGEOT 5008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK EAT8,46860,59,2023,25/12/2023,non requis,16 691 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,140 g/kmC,5.3 l/100km,EURO6
81,PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S ACTIVE,11370,13,2020,05/05/2020,non requis,124 734 Km,Diesel,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,86 g/kmA,3.2 l/100km,EURO6
82,PEUGEOT 3008 (2E GENERATION),II 1.6 BLUEHDI 120 S&S ALLURE EAT6,26220,33,2018,12/05/2018,requis,57 360 Km,Diesel,automatique,gris foncé,5,5,12 mois,,,non,3,6 CV,120 ch,2,108 g/kmB,3.9 l/100km,EURO6
83,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S GT LINE EAT8,31330,91,2021,25/10/2021,non requis,72 039 Km,Diesel,automatique,bleu,5,5,12 mois,,,non,2,6 CV,131 ch,2,98 g/kmA,4 l/100km,EURO6
