,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1391,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S STYLE EAT8,25060,74,2023,06/10/2023,non requis,12 665 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,non,1,5 CV,101 ch,1,122 g/kmC,5.4 l/100km,EURO6
1392,PEUGEOT 207 SW,SW 1.6 HDI 16V 90 PREMIUM,6310,77,2011,26/10/2011,requis,168 009 Km,Diesel,mécanique,gris foncé,5,5,6 mois,,,non,2,5 CV,90 ch,3,119 g/kmB,3.9 l/100km,EURO4
1393,PEUGEOT RIFTER,1.2 PURETECH 110 S&S ACTIVE,26230,69,2020,18/03/2020,non requis,13 750 Km,Essence,mécanique,blanc,5,5,,,,non,3,6 CV,110 ch,1,119 g/kmB,5.5 l/100km,EURO6
1394,PEUGEOT 508 SW,(2) SW 2.0 HDI 140 ACTIVE,14380,69,2015,13/06/2015,requis,112 800 Km,Diesel,mécanique,noir,5,5,6 mois,,,non,2,7 CV,140 ch,2,120 g/kmB,3.8 l/100km,EURO5
1395,PEUGEOT 2008,(2) 1.6 BLUEHDI 100 S&S ALLURE BUSINESS ETG6,12750,69,2019,31/07/2019,non requis,142 997 Km,Diesel,automatique,gris,5,5,6 mois,,,oui,1,5 CV,99 ch,2,95 g/kmA,3.3 l/100km,EURO6
1396,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT,26770,31,2023,10/08/2023,non requis,11 462 Km,Essence,mécanique,Rouge Elixir,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,118 g/kmB,5.3 l/100km,EURO6
1397,PEUGEOT E-208 (2E GENERATION),II ELECTRIQUE GT LINE,27590,74,2021,12/04/2021,non requis,33 245 Km,Electrique,automatique,bleu,5,5,12 mois,,SPOTICAR,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
1398,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT LINE EAT8,28420,13,2020,15/06/2020,non requis,28 881 Km,Essence,automatique,NOIR PERLA NERA METAL,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,97 g/kmA,4.3 l/100km,EURO6
1399,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ALLURE BUSINESS,29020,36,2020,30/01/2021,non requis,95 059 Km,Diesel,mécanique,BLEU MAGNETIC,5,5,12 mois,,,non,,7 CV,130 ch,2,,,EURO6
1400,PEUGEOT 308 (3E GENERATION),III 1.2 PURETECH 130 S&S ALLURE PACK,33150,78,2023,07/10/2023,non requis,7 189 Km,Essence,mécanique,NOIR PERLA N,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,125 g/kmC,5.5 l/100km,EURO6
1401,PEUGEOT 2008,(2) 1.2 PURETECH 110 S&S SIGNATURE EAT6,21220,95,2020,08/04/2020,non requis,28 476 Km,Essence,automatique,Noir Perla Nera,5,5,12 mois,,SPOTICAR,oui,,6 CV,110 ch,1,114 g/kmB,5.5 l/100km,EURO6
1402,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,19060,60,2022,26/06/2022,non requis,48 440 Km,Essence,mécanique,Gris Platinium,5,5,12 mois,en cours,SPOTICAR,non,,5 CV,100 ch,1,118 g/kmB,5.3 l/100km,EURO6
